date,temperature,humidity,luminosity
2022-11-17 15:44:37.442,10.8,0.0,52
2022-11-17 15:44:34.398,10.8,0.0,50
2022-11-17 15:44:31.354,10.8,0.0,50
2022-11-17 15:44:28.311,10.8,0.0,51
2022-11-17 15:44:25.268,10.7,0.0,50
2022-11-17 15:44:22.224,10.7,0.0,49
2022-11-17 15:44:19.180,10.7,0.0,51
2022-11-17 15:44:16.136,10.8,0.0,51
2022-11-17 15:44:13.093,10.8,0.0,51
2022-11-17 15:44:10.051,10.8,0.0,51
2022-11-17 15:44:07.008,10.8,0.0,51
2022-11-17 15:44:03.965,10.8,0.0,52
2022-11-17 15:44:00.922,10.8,0.0,52
2022-11-17 15:43:57.878,10.8,0.0,53
2022-11-17 15:43:54.836,10.8,0.0,52
2022-11-17 15:43:51.791,10.8,0.0,51
2022-11-17 15:43:48.749,10.7,0.0,52
2022-11-17 15:43:45.706,10.7,0.0,52
2022-11-17 15:43:42.663,10.7,0.0,52
2022-11-17 15:43:39.620,10.7,0.0,51
2022-11-17 15:43:36.577,10.7,0.0,52
2022-11-17 15:43:33.533,10.7,0.0,53
2022-11-17 15:43:30.490,10.7,0.0,53
2022-11-17 15:43:27.448,10.8,0.0,52
2022-11-17 15:43:24.404,10.7,0.0,51
2022-11-17 15:43:21.360,10.6,0.0,52
2022-11-17 15:43:18.317,10.7,0.0,53
2022-11-17 15:43:15.274,10.7,0.0,51
2022-11-17 15:43:12.230,10.7,0.0,51
2022-11-17 15:43:09.186,10.8,0.0,52
2022-11-17 15:43:06.143,10.8,0.0,49
2022-11-17 15:43:03.100,10.7,0.0,50
2022-11-17 15:43:00.056,10.8,0.0,50
2022-11-17 15:42:57.013,10.7,0.0,52
2022-11-17 15:42:53.970,10.6,0.0,52
2022-11-17 15:42:50.927,10.6,0.0,52
2022-11-17 15:42:47.885,10.6,0.0,53
2022-11-17 15:42:44.842,10.7,0.0,52
2022-11-17 15:42:41.799,10.6,0.0,52
2022-11-17 15:42:38.757,10.6,0.0,52
2022-11-17 15:42:35.713,10.6,0.0,53
2022-11-17 15:42:32.669,10.6,0.0,52
2022-11-17 15:42:29.625,10.7,0.0,52
2022-11-17 15:42:26.583,10.7,0.0,50
2022-11-17 15:42:23.540,10.6,0.0,51
2022-11-17 15:42:20.495,10.7,0.0,52
2022-11-17 15:42:17.452,10.6,0.0,52
2022-11-17 15:42:14.409,10.7,0.0,52
2022-11-17 15:42:11.365,10.7,0.0,53
2022-11-17 15:42:08.322,10.6,0.0,53
2022-11-17 15:42:05.280,10.7,0.0,52
2022-11-17 15:42:02.236,10.7,0.0,53
2022-11-17 15:41:59.193,10.5,0.0,52
2022-11-17 15:41:56.150,10.5,0.0,52
2022-11-17 15:41:53.107,10.6,0.0,52
2022-11-17 15:41:50.063,10.6,0.0,53
2022-11-17 15:41:47.020,10.6,0.0,53
2022-11-17 15:41:43.978,10.6,0.0,51
2022-11-17 15:41:40.935,10.6,0.0,51
2022-11-17 15:41:37.891,10.7,0.0,53
2022-11-17 15:41:34.849,10.6,0.0,52
2022-11-17 15:41:31.806,10.7,0.0,52
2022-11-17 15:41:28.764,10.7,0.0,53
2022-11-17 15:41:25.721,10.7,0.0,53
2022-11-17 15:41:22.677,10.6,0.0,51
2022-11-17 15:41:19.634,10.7,0.0,52
2022-11-17 15:41:16.590,10.6,0.0,52
2022-11-17 15:41:13.546,10.6,0.0,49
2022-11-17 15:41:10.503,10.6,0.0,51
2022-11-17 15:41:07.460,10.6,0.0,52
2022-11-17 15:41:04.417,10.6,0.0,52
2022-11-17 15:41:01.373,10.5,0.0,52
2022-11-17 15:40:58.329,10.6,0.0,52
2022-11-17 15:40:55.287,10.6,0.0,51
2022-11-17 15:40:52.243,10.5,0.0,52
2022-11-17 15:40:49.200,10.6,0.0,52
2022-11-17 15:40:46.157,10.6,0.0,52
2022-11-17 15:40:43.113,10.6,0.0,52
2022-11-17 15:40:40.071,10.5,0.0,53
2022-11-17 15:40:37.028,10.7,0.0,54
2022-11-17 15:40:33.984,10.7,0.0,53
2022-11-17 15:40:30.941,10.6,0.0,52
2022-11-17 15:40:27.897,10.7,0.0,50
2022-11-17 15:40:24.853,10.7,0.0,51
2022-11-17 15:40:21.809,10.7,0.0,51
2022-11-17 15:40:18.765,10.7,0.0,51
2022-11-17 15:40:15.722,10.7,0.0,50
2022-11-17 15:40:12.679,10.7,0.0,52
2022-11-17 15:40:09.636,10.5,0.0,53
2022-11-17 15:40:06.593,10.6,0.0,51
2022-11-17 15:40:03.551,10.7,0.0,52
2022-11-17 15:40:00.508,10.5,0.0,52
2022-11-17 15:39:57.463,10.6,0.0,52
2022-11-17 15:39:54.421,10.5,0.0,51
2022-11-17 15:39:51.378,10.4,0.0,53
2022-11-17 15:39:48.335,10.5,0.0,54
2022-11-17 15:39:45.292,10.6,0.0,53
2022-11-17 15:39:42.249,10.6,0.0,53
2022-11-17 15:39:39.205,10.7,0.0,54
2022-11-17 15:39:36.161,10.5,0.0,54
2022-11-17 15:39:33.116,10.6,0.0,54
2022-11-17 15:39:30.074,10.6,0.0,55
2022-11-17 15:39:27.030,10.7,0.0,54
2022-11-17 15:39:23.987,10.6,0.0,53
2022-11-17 15:39:20.944,10.6,0.0,53
2022-11-17 15:39:17.900,10.6,0.0,51
2022-11-17 15:39:14.856,10.6,0.0,50
2022-11-17 15:39:11.813,10.5,0.0,50
2022-11-17 15:39:08.770,10.5,0.0,49
2022-11-17 15:39:05.727,10.6,0.0,50
2022-11-17 15:39:02.684,10.5,0.0,51
2022-11-17 15:38:59.641,10.6,0.0,51
2022-11-17 15:38:56.597,10.4,0.0,50
2022-11-17 15:38:53.554,10.5,0.0,51
2022-11-17 15:38:50.510,10.5,0.0,52
2022-11-17 15:38:47.468,10.4,0.0,51
2022-11-17 15:38:44.424,10.5,0.0,52
2022-11-17 15:38:41.381,10.5,0.0,51
2022-11-17 15:38:38.337,10.5,0.0,50
2022-11-17 15:38:35.294,10.4,0.0,44
2022-11-17 15:38:32.251,10.6,0.0,50
2022-11-17 15:38:29.208,10.5,0.0,49
2022-11-17 15:38:26.165,10.5,0.0,50
2022-11-17 15:38:23.122,10.5,0.0,50
2022-11-17 15:38:20.079,10.5,0.0,51
2022-11-17 15:38:17.036,10.6,0.0,50
2022-11-17 15:38:13.993,10.5,0.0,50
2022-11-17 15:38:10.948,10.6,0.0,50
2022-11-17 15:38:07.905,10.5,0.0,49
2022-11-17 15:38:04.861,10.6,0.0,50
2022-11-17 15:38:01.817,10.6,0.0,50
2022-11-17 15:37:58.772,10.5,0.0,50
2022-11-17 15:37:55.730,10.6,0.0,50
2022-11-17 15:37:52.686,10.6,0.0,50
2022-11-17 15:37:49.642,10.7,0.0,51
2022-11-17 15:37:46.598,10.7,0.0,49
2022-11-17 15:37:43.554,10.6,0.0,51
2022-11-17 15:37:40.510,10.7,0.0,52
2022-11-17 15:37:37.467,10.6,0.0,52
2022-11-17 15:37:34.424,10.6,0.0,52
2022-11-17 15:37:31.381,10.5,0.0,53
2022-11-17 15:37:28.337,10.6,0.0,52
2022-11-17 15:37:25.294,10.6,0.0,52
2022-11-17 15:37:22.251,10.7,0.0,52
2022-11-17 15:37:19.207,10.6,0.0,52
2022-11-17 15:37:16.164,10.7,0.0,50
2022-11-17 15:37:13.121,10.6,0.0,50
2022-11-17 15:37:10.078,10.6,0.0,52
2022-11-17 15:37:07.035,10.6,0.0,51
2022-11-17 15:37:03.991,10.7,0.0,51
2022-11-17 15:37:00.948,10.6,0.0,52
2022-11-17 15:36:57.904,10.5,0.0,52
2022-11-17 15:36:54.861,10.6,0.0,52
2022-11-17 15:36:51.817,10.6,0.0,53
2022-11-17 15:36:48.774,10.5,0.0,53
2022-11-17 15:36:45.732,10.7,0.0,53
2022-11-17 15:36:42.689,10.5,0.0,53
2022-11-17 15:36:39.645,10.6,0.0,52
2022-11-17 15:36:36.601,10.7,0.0,52
2022-11-17 15:36:33.556,10.6,0.0,53
2022-11-17 15:36:30.515,10.6,0.0,50
2022-11-17 15:36:27.471,10.6,0.0,51
2022-11-17 15:36:24.428,10.7,0.0,53
2022-11-17 15:36:21.384,10.6,0.0,53
2022-11-17 15:36:18.341,10.7,0.0,52
2022-11-17 15:36:15.298,10.6,0.0,51
2022-11-17 15:36:12.255,10.6,0.0,52
2022-11-17 15:36:09.212,10.6,0.0,51
2022-11-17 15:36:06.168,10.6,0.0,46
2022-11-17 15:36:03.125,10.5,0.0,52
2022-11-17 15:36:00.082,10.6,0.0,52
2022-11-17 15:35:57.040,10.6,0.0,51
2022-11-17 15:35:53.996,10.6,0.0,51
2022-11-17 15:35:50.953,10.6,0.0,52
2022-11-17 15:35:47.910,10.5,0.0,51
2022-11-17 15:35:44.867,10.5,0.0,52
2022-11-17 15:35:41.823,10.5,0.0,51
2022-11-17 15:35:38.779,10.5,0.0,51
2022-11-17 15:35:35.735,10.5,0.0,52
2022-11-17 15:35:32.692,10.4,0.0,52
2022-11-17 15:35:29.649,10.4,0.0,51
2022-11-17 15:35:26.606,10.5,0.0,51
2022-11-17 15:35:23.562,10.5,0.0,52
