date,temperature,himidity,luminosity
2022-11-10 15:47:13.113,23.1,,12
2022-11-10 15:47:10.836,23.1,,13
2022-11-10 15:47:08.560,23.1,,13
2022-11-10 15:47:06.282,23.1,,13
2022-11-10 15:47:04.004,23.1,,13
2022-11-10 15:47:01.727,23.1,,13
2022-11-10 15:46:59.450,23.1,,13
2022-11-10 15:46:57.171,23.1,,12
2022-11-10 15:46:54.894,23.1,,12
2022-11-10 15:46:52.617,23.1,,13
2022-11-10 15:46:50.340,23.1,,13
2022-11-10 15:46:48.062,23.1,,13
2022-11-10 15:46:45.783,23.1,,13
2022-11-10 15:46:43.506,23.1,,13
2022-11-10 15:46:41.230,23.1,,13
2022-11-10 15:46:38.952,23.1,,12
2022-11-10 15:46:36.674,23.1,,13
2022-11-10 15:46:34.396,23.1,,13
2022-11-10 15:46:32.119,23.1,,12
2022-11-10 15:46:29.842,23.1,,13
2022-11-10 15:46:27.564,23.1,,13
2022-11-10 15:46:25.286,23.1,,12
2022-11-10 15:46:23.010,23.1,,13
2022-11-10 15:46:20.731,23.1,,12
2022-11-10 15:46:18.455,23.1,,12
2022-11-10 15:46:16.177,23.1,,12
2022-11-10 15:46:13.900,23.1,,12
2022-11-10 15:46:11.621,23.1,,12
2022-11-10 15:46:09.345,23.1,,12
2022-11-10 15:46:07.067,23.1,,12
2022-11-10 15:46:04.790,23.1,,12
2022-11-10 15:46:02.511,23.0,,12
2022-11-10 15:46:00.234,23.1,,12
2022-11-10 15:45:57.957,23.1,,13
2022-11-10 15:45:55.679,23.1,,12
2022-11-10 15:45:53.402,23.1,,12
2022-11-10 15:45:51.124,23.0,,13
2022-11-10 15:45:48.848,23.0,,12
2022-11-10 15:45:46.570,23.1,,12
2022-11-10 15:45:44.292,23.0,,12
2022-11-10 15:45:42.015,23.0,,12
2022-11-10 15:45:39.738,23.1,,12
2022-11-10 15:45:37.460,23.1,,12
2022-11-10 15:45:35.183,23.0,,13
2022-11-10 15:45:32.906,23.0,,13
2022-11-10 15:45:30.627,23.0,,12
2022-11-10 15:45:28.351,23.0,,12
2022-11-10 15:45:26.072,23.0,,12
2022-11-10 15:45:23.795,23.0,,11
2022-11-10 15:45:21.517,23.0,,12
2022-11-10 15:45:19.240,23.0,,12
2022-11-10 15:45:16.966,23.0,,12
2022-11-10 15:45:14.689,23.0,,12
2022-11-10 15:45:12.411,23.0,,12
2022-11-10 15:45:10.135,23.0,,12
2022-11-10 15:45:07.857,23.0,,12
2022-11-10 15:45:05.579,23.0,,12
2022-11-10 15:45:03.302,23.0,,13
2022-11-10 15:45:01.025,23.0,,13
2022-11-10 15:44:58.747,23.0,,13
2022-11-10 15:44:56.470,23.0,,13
2022-11-10 15:44:54.192,23.0,,13
2022-11-10 15:44:51.915,23.0,,13
2022-11-10 15:44:49.637,23.0,,12
2022-11-10 15:44:47.359,23.0,,12
2022-11-10 15:44:45.083,23.0,,12
2022-11-10 15:44:42.805,23.0,,12
2022-11-10 15:44:40.528,23.0,,12
2022-11-10 15:44:38.250,23.1,,13
2022-11-10 15:44:35.972,23.1,,13
2022-11-10 15:44:33.695,23.0,,13
2022-11-10 15:44:31.418,23.0,,12
2022-11-10 15:44:29.140,23.0,,12
2022-11-10 15:44:26.862,23.0,,12
2022-11-10 15:44:24.586,23.0,,10
2022-11-10 15:44:22.307,23.0,,10
2022-11-10 15:44:20.031,23.0,,11
2022-11-10 15:44:17.753,23.0,,12
2022-11-10 15:44:15.476,23.0,,12
2022-11-10 15:44:13.198,23.0,,12
2022-11-10 15:44:10.921,23.0,,12
2022-11-10 15:44:08.643,23.0,,12
2022-11-10 15:44:06.365,23.0,,12
2022-11-10 15:44:04.087,23.0,,12
2022-11-10 15:44:01.810,23.0,,12
2022-11-10 15:43:59.532,23.0,,12
2022-11-10 15:43:57.255,23.0,,12
2022-11-10 15:43:54.977,23.0,,12
2022-11-10 15:43:52.701,23.0,,12
2022-11-10 15:43:50.426,23.0,,11
2022-11-10 15:43:48.149,23.0,,12
2022-11-10 15:43:45.873,23.0,,12
2022-11-10 15:43:43.594,23.1,,13
2022-11-10 15:43:41.317,23.0,,13
2022-11-10 15:43:39.039,23.0,,12
2022-11-10 15:43:36.763,23.0,,13
2022-11-10 15:43:34.484,23.1,,12
2022-11-10 15:43:32.207,23.1,,13
2022-11-10 15:43:29.930,23.1,,12
2022-11-10 15:43:27.652,23.1,,13
2022-11-10 15:43:25.375,23.1,,12
2022-11-10 15:43:23.097,23.1,,12
2022-11-10 15:43:20.820,23.1,,13
2022-11-10 15:43:18.543,23.1,,13
2022-11-10 15:43:16.264,23.1,,13
2022-11-10 15:43:13.988,23.1,,13
2022-11-10 15:43:11.710,23.1,,13
2022-11-10 15:43:09.433,23.1,,13
2022-11-10 15:43:07.155,23.1,,13
2022-11-10 15:43:04.877,23.1,,13
2022-11-10 15:43:02.600,23.1,,13
2022-11-10 15:43:00.323,23.1,,12
2022-11-10 15:42:58.045,23.1,,13
2022-11-10 15:42:55.768,23.1,,13
2022-11-10 15:42:53.490,23.1,,12
2022-11-10 15:42:51.212,23.1,,12
2022-11-10 15:42:48.936,23.1,,12
2022-11-10 15:42:46.658,23.1,,13
2022-11-10 15:42:44.381,23.1,,13
2022-11-10 15:42:42.102,23.1,,12
2022-11-10 15:42:39.825,23.1,,13
2022-11-10 15:42:37.547,23.1,,13
2022-11-10 15:42:35.271,23.1,,13
2022-11-10 15:42:32.993,23.1,,13
2022-11-10 15:42:30.716,23.1,,13
2022-11-10 15:42:28.437,23.1,,13
2022-11-10 15:42:26.160,23.1,,13
2022-11-10 15:42:23.882,23.1,,12
2022-11-10 15:42:21.605,23.1,,13
2022-11-10 15:42:19.329,23.1,,13
2022-11-10 15:42:17.051,23.1,,13
2022-11-10 15:42:14.773,23.1,,13
2022-11-10 15:42:12.495,23.1,,13
2022-11-10 15:42:10.218,23.1,,13
2022-11-10 15:42:07.940,23.1,,13
2022-11-10 15:42:05.664,23.1,,13
2022-11-10 15:42:03.386,23.1,,13
